(Corelare cu Mixul de Marketing)";Denumire elemente de casa;Nivel 1 de detaliere;Nivel 2 de detaliere;Nivel 3 de detaliere;Nivel 4 de detaliere;Grosime strat (mm);MP;Denumire în ofertă - RO;Cost/mp (euro fara tva);
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;45x100 C; 	100,00 ; 	1,00 ;Structură lemn C24 45x100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;45x150 C; 	150,00 ; 	1,00 ;Structură lemn C24 45x150 mm ;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;60x150 C; 	150,00 ; 	1,00 ;Structură lemn C24 60x150 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;60x160 C; 	160,00 ; 	1,00 ;Structură lemn C24 60x160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;60x200 C; 	200,00 ; 	1,00 ;Structură lemn C24 60x200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;80x160 C; 	160,00 ; 	1,00 ;Structură lemn C24 80x160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Structura_lemn_PEp;80x160 mix C+GL; 	160,00 ; 	1,00 ;Structură lemn mix C+GL24 80x160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_interioare_structura_PEp;OSB 12mm; 	12,00 ; 	1,00 ;OSB 3 12 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_interioare_structura_PEp;OSB 15mm; 	15,00 ; 	1,00 ;OSB 3 15 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_interioare_structura_PEp;FBV-montaj in fabrica ; 	-   ; 	1,00 ;Folie Barieră de Vapori;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Mutirock 0,037 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Mutirock 0,037 150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 150 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Mutirock 0,037 160mm; 	160,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Mutirock 0,037 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Airrock ND λ = 0.035 W/mk 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Airrock ND λ = 0.035 W/mk 140mm; 	140,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 140 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Airrock ND λ = 0.035 W/mk 160mm; 	160,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Rockwool Airrock ND λ = 0.035 W/mk 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Forte 0,034 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Forte 0,034 150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 150 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Forte 0,034 160mm; 	160,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Forte 0,034 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Superprofi 0,032 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Superprofi 0,032 150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 150 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Superprofi 0,032 160mm; 	160,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Isover Superprofi 0,032 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Steico Flex 100mm; 	100,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Steico Flex 140mm; 	140,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 140 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Steico Flex 160mm; 	160,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;Steico Flex 200mm; 	200,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;BEST WOOD FLEX 50 0.037W/mk 100mm; 	100,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 100 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;BEST WOOD FLEX 50 0.037W/mk 160mm; 	160,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 140 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;BEST WOOD FLEX 50 0.037W/mk 140mm; 	140,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 160 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Termoizolatie_PEp;BEST WOOD FLEX 50 0.037W/mk 200mm; 	200,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 200 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;OSB 12mm; 	12,00 ; 	1,00 ;OSB 3 12 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;OSB 15mm; 	15,00 ; 	1,00 ;OSB 3 15 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;DHF 15mm; 	15,00 ; 	1,00 ;DHF 15 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;Rigistabil; 	12,50 ; 	1,00 ;Placă RigiStabil  12,5 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;Vidiwall HI 12,5 mm; 	12,50 ; 	1,00 ;Placă Knauf Vidiwall HI λ ≤ 0,30 W/mK 12,5 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;Aquapanel; 	12,50 ; 	1,00 ;Placă de Ciment Knauf Aquapanel 12,5 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;Fibra de lemn ; 	40,00 ; 	1,00 ;Fibră de Lemn Best Wood Multitherm 140 T+G λ = 0,40 W/mK 40 mm;;
Structuri Timberframe;Pereti;Pereti_Exteriori;Pereti_Exteriori_Prefab_PEp;Placari_exterioare_structura_PEp;FT-montaj in fabrica; 	-   ; 	1,00 ;Folie Permisivă la Transferul de Vapori;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Structura_lemn_Atp;45x100C; 	100,00 ; 	1,00 ;Structură lemn C24 45x100 mm;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Structura_lemn_Atp;45x150 C; 	150,00 ; 	1,00 ;Structură lemn C24 45x150 mm ;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Structura_lemn_Atp;60x160 C; 	160,00 ; 	1,00 ;Structură lemn C24 60x160 mm;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Placari_interioare_structura_Atp;OSB 12mm; 	12,00 ; 	1,00 ;OSB 3 12 mm;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Placari_interioare_structura_Atp;OSB 15mm; 	15,00 ; 	1,00 ;OSB 3 15 mm;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Placari_exterioare_structura_Atp;OSB 12mm; 	12,00 ; 	1,00 ;OSB 3 12 mm;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Placari_exterioare_structura_Atp;OSB 15mm; 	15,00 ; 	1,00 ;OSB 3 15 mm;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Placari_exterioare_structura_Atp;DHF 15mm; 	15,00 ; 	1,00 ;DHF 15 mm;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Placari_exterioare_structura_Atp;Rigistabil; 	12,50 ; 	1,00 ;Placă RigiStabil 12,5 mm;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Placari_exterioare_structura_Atp;Vidiwall HI 12,5 mm; 	12,50 ; 	1,00 ;Placă Knauf Vidiwall HI λ ≤ 0,30 W/mK 12,5 mm;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Placari_exterioare_structura_Atp;Aquapanel; 	12,50 ; 	1,00 ;Placă de Ciment Knauf Aquapanel 12,5 mm;;
Structuri Timberframe;Pereti;Atic_prefab;Atic_prefab_Atp;Placari_exterioare_structura_Atp;Fibra de lemn ; 	40,00 ; 	1,00 ;Fibră de Lemn Best Wood Multitherm 140 T+G λ = 0,40 W/mK 40 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termosistem_Prefab_TSp;Termoizolatie_TSp;Termoizolatie, A1, Plasa, A2, Decorativa - 60 mm 60mm; 	60,00 ; 	1,00 ;Termosistem cu tencuială decorativă 60 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termosistem_Prefab_TSp;Termoizolatie_TSp;Termoizolatie, A1, Plasa, A2, Decorativa - 100 mm 100mm; 	100,00 ; 	1,00 ;Termosistem cu tencuială decorativă 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termosistem_Prefab_TSp;Termoizolatie_TSp;Termoizolatie, A1, Plasa, A2, Decorativa - 100 mm 100mm; 	100,00 ; 	1,00 ;Termosistem cu tencuială decorativă 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termosistem_Prefab_TSp;Termoizolatie_TSp;Termoizolatie, A1, Plasa, A2, Decorativa - 150 mm 150mm; 	150,00 ; 	1,00 ;Termosistem cu tencuială decorativă 150 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termosistem_Prefab_TSp;Termoizolatie_TSp;Termoizolatie, A1, Plasa, A2, Decorativa - 200 mm 200mm; 	200,00 ; 	1,00 ;Termosistem cu tencuială decorativă 200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Structura_lemn_TFVp;48x48; 	48,00 ; 	1,00 ;Structură lemn C24 48x48 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Structura_lemn_TFVp;45x100; 	100,00 ; 	1,00 ;Structură lemn C24 45x100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Structura_lemn_TFVp;45x150; 	150,00 ; 	1,00 ;Structură lemn C24 45x150 mm ;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Structura_lemn_TFVp;45x200; 	200,00 ; 	1,00 ;Structură lemn C24 45x200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Rockwool Mutirock 0,037 50mm; 	50,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 50 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Rockwool Mutirock 0,037 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Rockwool Mutirock 0,037 150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 150 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Rockwool Mutirock 0,037 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Rockwool AirRock ND 50mm; 	50,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 50 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Rockwool AirRock ND 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Rockwool AirRock ND 140mm; 	140,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 140 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Rockwool AirRock ND 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Isover Forte 0,034 50mm; 	50,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 50 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Isover Forte 0,034 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Isover Forte 0,034 150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 150 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Isover Forte 0,034 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Isover Superprofi 0,032 50mm; 	50,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 50 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Isover Superprofi 0,032 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Isover Superprofi 0,032 150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 150 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Isover Superprofi 0,032 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Superprofi λ = 0,032 W/mK 200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;ISOVER PLN  50mm; 	50,00 ; 	1,00 ;Termoizolație Vată Bazaltică Isover Pln λ = 0,034 W/mK 50 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;ISOVER PLN  100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Bazaltică Isover Pln λ = 0,034 W/mK 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;ISOVER PLN  150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Bazaltică Isover Pln λ = 0,034 W/mK 150 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;ISOVER PLN  200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Bazaltică Isover Pln λ = 0,034 W/mK 200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Steico Flex 50mm; 	50,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 50 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Steico Flex 100mm; 	100,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Steico Flex 140mm; 	140,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 140 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Steico Flex 200mm; 	200,00 ; 	1,00 ;Termoizolație Fibră de Lemn Steico Flex λ = 0,038 W/mK 200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Best Wood 50mm; 	50,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 50 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Best Wood 100mm; 	100,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Best Wood 140mm; 	140,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 140 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Termoizolatie_TFVp;Best Wood 200mm; 	200,00 ; 	1,00 ;Termoizolație Fibră de Lemn Best Wood Flex 50 λ = 0,037 W/mK 200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Placari_exterioare_structura_TFVp;Aquapanel; 	12,50 ; 	1,00 ;Placă de Ciment Knauf Aquapanel 12,5 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Placari_exterioare_structura_TFVp;Scandura oarba; 	22,00 ; 	1,00 ;Scândură oarbă 22 mm ;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_Prefab_TFVp;Placari_exterioare_structura_TFVp;FT; 	-   ; 	1,00 ;Folie Permisivă la Transferul de Vapori;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Structura_lemn_TFVs;48x48 C; 	48,00 ; 	1,00 ;Structură lemn C24 48x48 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Structura_lemn_TFVs;45x100 C; 	100,00 ; 	1,00 ;Structură lemn C24 45x100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Structura_lemn_TFVs;45x150 C; 	150,00 ; 	1,00 ;Structură lemn C24 45x150 mm ;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Structura_lemn_TFVs;45x200 C; 	200,00 ; 	1,00 ;Structură lemn C24 45x200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Termoizolatie_TFVs;Rockwool Mutirock 0,037 50mm; 	50,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 50 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Termoizolatie_TFVs;Rockwool Mutirock 0,037 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Termoizolatie_TFVs;Rockwool Mutirock 0,037 150mm; 	150,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 150 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Termoizolatie_TFVs;Rockwool Mutirock 0,037 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Multirock λ = 0,037 W/mK 200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Termoizolatie_TFVs;Rockwool AirRock ND 50mm; 	50,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 50 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Termoizolatie_TFVs;Rockwool AirRock ND 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 100 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Termoizolatie_TFVs;Rockwool AirRock ND 140mm; 	140,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 140 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Termoizolatie_TFVs;Rockwool AirRock ND 200mm; 	200,00 ; 	1,00 ;Termoizolație Vată Bazaltică Rockwool Airrock ND λ = 0,035 W/mK 200 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Termoizolatie_TFVs;Isover Forte 0,034 50mm; 	50,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 50 mm;;
Structuri Timberframe;Pereti;Accesorii_pereti_exteriori;Termoizolatie_Fatada_Ventilata_On_site_TFVs;Termoizolatie_TFVs;Isover Forte 0,034 100mm; 	100,00 ; 	1,00 ;Termoizolație Vată Minerală de Sticlă Isover Forte λ = 0,034 W/mK 100 mm;;
